fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S34;4532;5014;9556;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S34;2355;2752;5110;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S34;1697;1812;3512;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S34;1461;1428;2891;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S34;831;867;1701;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S34;360;429;789;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S34;241;194;437;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S34;140;42;182;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S34;13653;14430;28140;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S35;611;611;1250;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S35;2469;2233;4732;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S35;6581;6685;13285;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S35;3441;3741;7194;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S35;2467;2346;4824;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S35;2131;1925;4065;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S35;1182;1162;2346;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S35;595;608;1206;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S35;376;253;631;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S35;214;58;272;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S35;20076;19632;39852;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S36;925;966;1936;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S36;3594;3252;6909;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S36;7880;8114;16042;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S36;4549;4645;9213;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S36;3478;3130;6627;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S36;2998;2608;5615;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S36;1689;1667;3369;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S36;791;862;1656;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S36;574;413;990;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S36;325;112;438;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S36;26819;25777;52826;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S37;1477;1464;3011;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S37;4455;4531;9101;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S37;8736;8679;17461;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S37;5353;4841;10221;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S37;4578;3930;8528;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S37;3999;3491;7507;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S37;2136;2084;4237;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S37;1176;1158;2337;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S37;841;612;1458;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S37;607;191;798;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S37;33372;30990;64690;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S38;1275;1445;2775;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S38;5724;5752;11606;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S38;9974;9853;19865;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S38;6266;5509;11805;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S38;5425;4618;10067;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S38;4654;4059;8729;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S38;2611;2577;5204;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S38;1426;1443;2872;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S38;1102;757;1861;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S38;707;241;948;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S38;39182;36274;75790;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S39;864;914;1813;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S39;5384;5347;10841;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S39;9976;9527;19536;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S39;6112;5511;11633;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S39;5316;4566;9890;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S39;4763;4211;8981;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S39;2763;2702;5470;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S39;1503;1604;3111;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S39;1110;792;1906;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S39;640;220;862;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S39;38453;35421;74109;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S40;838;843;1732;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S40;5431;5391;10965;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S40;10096;9593;19728;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S40;6804;5978;12795;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S40;6177;5292;11483;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S40;5355;4811;10180;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S40;3118;3016;6151;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S40;1776;1837;3618;3096658.17457622;2598980.95622107;79;5695639.1307973
