fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S51;3540;3297;6845;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S51;4158;2435;6602;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S51;3370;1010;4388;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S51;54644;43906;98862;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S52;1101;1136;2273;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S52;4323;4177;8573;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S52;7016;5546;12587;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S52;7137;5502;12653;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S52;6476;5539;12035;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S52;6296;5464;11770;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S52;4103;4150;8274;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S52;3008;2707;5727;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S52;3503;1988;5500;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S52;2650;852;3504;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S52;45625;37071;82927;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S53;1312;1292;2645;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S53;5360;5082;10526;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S53;8526;7046;15592;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S53;8341;6809;15168;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S53;7346;6312;13671;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S53;7204;6275;13494;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S53;5232;4923;10177;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S53;3604;3306;6924;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S53;3655;2122;5782;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S53;2468;778;3250;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S53;53058;43952;97252;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S01;1827;2019;3908;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S01;7852;7451;15439;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S01;11506;9857;21403;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S01;10487;8757;19283;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S01;9457;8144;17634;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S01;9164;7819;17012;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S01;6429;6097;12561;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S01;4371;3997;8384;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S01;4529;2646;7185;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S01;3150;1057;4209;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S01;68784;57860;127052;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S02;2111;2210;4413;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S02;7923;7955;16037;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S02;10544;8620;19204;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S02;10404;8571;19009;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S02;10099;8403;18529;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S02;9516;8365;17903;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S02;6210;6201;12441;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S02;4508;4217;8733;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S02;4975;2958;7947;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S02;3846;1207;5065;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S02;70151;58727;129403;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S03;2858;2952;5932;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S03;9062;9288;18541;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S03;10960;8920;19913;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S03;11492;9104;20619;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S03;11450;9512;20986;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S03;10416;9255;19699;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S03;6840;6783;13660;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S03;4820;4419;9245;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S03;5115;3096;8219;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S03;3840;1152;5006;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S03;76861;64504;141890;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S04;2924;3124;6203;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S04;9236;9538;19014;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S04;11036;8951;20041;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S04;12035;9305;21367;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S04;11644;9603;21271;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S04;10238;9126;19394;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S04;7039;6733;13818;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S04;4887;4685;9589;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S04;5251;3241;8512;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S04;3951;1180;5139;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S04;78260;65508;144396;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S05;2880;3034;6028;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S05;9293;9398;18917;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S05;10887;9017;19946;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S05;11415;9169;20606;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S05;11422;9568;21012;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S05;9915;9131;19064;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S05;6853;6711;13622;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S05;4623;4324;8955;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S05;4685;2916;7610;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S05;3348;1049;4401;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S05;75345;64345;140232;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S06;2836;2963;6004;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S06;8574;8677;17459;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S06;10356;8593;18982;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S06;11147;8855;20020;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S06;10533;8994;19539;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S06;8948;8357;17329;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S06;6245;6131;12434;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S06;3901;3628;7529;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S06;3771;2440;6216;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S06;2564;858;3427;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S06;68890;59504;128981;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S07;2855;3025;5995;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S07;8905;9233;18361;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S07;11569;10148;21765;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S07;12199;10202;22441;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S07;11737;10283;22059;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S07;9732;9425;19197;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S07;6631;6402;13088;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S07;4198;3885;8094;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S07;3546;2380;5938;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S07;2259;755;3018;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S07;73650;65762;140018;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S08;3036;3312;6491;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S08;9660;9772;19685;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S08;12659;11218;23923;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S08;12751;11058;23868;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S08;12322;11018;23387;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S08;10845;10425;21317;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S08;7378;7140;14569;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S08;4600;4279;8892;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S08;3327;2177;5513;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S08;1863;705;2574;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S08;78455;71122;150269;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S09;3280;3594;7048;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S09;10208;10369;20876;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S09;12992;11486;24535;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S09;12593;11028;23668;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S09;12159;10523;22741;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S09;10378;10001;20426;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S09;7356;6863;14278;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S09;4412;4022;8444;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S09;2919;1970;4892;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S09;1329;556;1885;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S09;77646;70436;148875;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S10;4483;4809;9559;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S10;13016;13365;26768;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S10;15829;14307;30199;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S10;15308;13417;28786;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S10;14489;13259;27802;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S10;12383;11855;24292;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S10;8310;7873;16271;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S10;4795;4377;9189;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S10;2973;2024;5008;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S10;1307;567;1875;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S10;92909;85873;179802;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S11;6249;6589;13173;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S11;15877;16390;32826;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S11;18034;16150;34258;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S11;18865;15669;34613;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S11;17295;15488;32865;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S11;14376;13633;28074;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S11;9867;9029;19011;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S11;5211;4865;10103;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S11;3248;2211;5471;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S11;1546;605;2156;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S11;110589;100657;212607;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S12;7939;8378;16694;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S12;21018;21725;43416;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S12;21176;18584;39880;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S12;22983;19157;42239;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S12;21647;19446;41192;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S12;17301;16588;33976;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S12;11392;10824;22392;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S12;6009;5636;11661;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S12;3715;2426;6151;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S12;1689;685;2376;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S12;134906;123484;260069;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S13;7961;8116;16478;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S13;22259;22968;45977;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S13;22659;20938;43739;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S13;23795;20302;44218;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S13;23021;21182;44334;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S13;18552;18001;36645;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S13;11740;10999;22853;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S13;6314;5870;12206;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S13;3869;2566;6449;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S13;1743;784;2527;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S13;141951;131780;275534;34692807.7476749;32422187.2523251;0;67114995
FR;2021-S14;5017;5219;10553;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2021-S14;16148;15774;32488;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2021-S14;20714;18987;39872;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2021-S14;20601;17916;38650;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2021-S14;20245;18342;38699;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2021-S14;16601;16043;32752;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2021-S14;10476;9676;20192;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2021-S14;5521;5161;10704;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2021-S14;3367;2250;5624;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2021-S14;1535;652;2191;672069.992695578;240510.613577276;90;912580.606272853
FR;2021-S14;120262;110059;231813;34692807.7476749;32422187.2523251;0;67114995
