reg,age,date,nb_hosp,nb-rea,nb_hospconv,SSR_USLD,rad_Tot,dec_Tot,AgeGroup
76,29,2020-03-18,2,0,,,3,0,"[20,39]"
76,39,2020-03-18,3,0,,,8,0,"[30,39]"
76,49,2020-03-18,3,1,,,8,0,"[40,49]"
76,59,2020-03-18,13,5,,,13,1,"[50,59]"
76,69,2020-03-18,24,13,,,3,0,"[60,69]"
76,79,2020-03-18,29,14,,,10,1,"[70,79]"
76,89,2020-03-18,17,6,,,1,4,"[80,89]"
76,90,2020-03-18,1,0,,,0,0,"[90,+]"
84,0,2020-03-18,172,35,,,69,7,"[0,9]"
84,9,2020-03-18,1,0,,,1,0,"[0,9]"
84,29,2020-03-18,3,0,,,7,0,"[20,39]"
84,39,2020-03-18,4,0,,,14,1,"[30,39]"
84,49,2020-03-18,11,3,,,6,0,"[40,49]"
84,59,2020-03-18,18,8,,,9,0,"[50,59]"
84,69,2020-03-18,24,9,,,19,1,"[60,69]"
84,79,2020-03-18,51,13,,,6,2,"[70,79]"
84,89,2020-03-18,41,2,,,4,3,"[80,89]"
84,90,2020-03-18,11,0,,,1,0,"[90,+]"
93,0,2020-03-18,166,24,,,202,7,"[0,9]"
93,19,2020-03-18,6,0,,,14,0,"[10,19]"
93,29,2020-03-18,7,1,,,28,0,"[20,39]"
93,39,2020-03-18,14,0,,,23,0,"[30,39]"
93,49,2020-03-18,22,1,,,40,0,"[40,49]"
93,59,2020-03-18,29,4,,,39,0,"[50,59]"
93,69,2020-03-18,38,8,,,26,1,"[60,69]"
93,79,2020-03-18,29,8,,,20,1,"[70,79]"
93,89,2020-03-18,15,2,,,7,4,"[80,89]"
93,90,2020-03-18,6,0,,,0,1,"[90,+]"
2,0,2020-03-19,17,5,,,0,1,"[0,9]"
2,29,2020-03-19,2,1,,,0,0,"[20,39]"
2,39,2020-03-19,2,0,,,0,0,"[30,39]"
2,49,2020-03-19,3,1,,,0,0,"[40,49]"
2,59,2020-03-19,5,0,,,0,0,"[50,59]"
2,69,2020-03-19,4,3,,,0,0,"[60,69]"
2,79,2020-03-19,1,0,,,0,0,"[70,79]"
4,0,2020-03-19,2,2,,,0,0,"[0,9]"
4,79,2020-03-19,1,1,,,0,0,"[70,79]"
4,89,2020-03-19,1,1,,,0,0,"[80,89]"
11,0,2020-03-19,1482,410,,,251,73,"[0,9]"
11,9,2020-03-19,6,2,,,5,0,"[0,9]"
11,19,2020-03-19,5,2,,,2,0,"[10,19]"
11,29,2020-03-19,22,4,,,27,0,"[20,39]"
11,39,2020-03-19,80,22,,,33,0,"[30,39]"
11,49,2020-03-19,144,42,,,24,4,"[40,49]"
11,59,2020-03-19,249,98,,,57,2,"[50,59]"
11,69,2020-03-19,283,93,,,41,8,"[60,69]"
11,79,2020-03-19,301,92,,,30,19,"[70,79]"
11,89,2020-03-19,251,46,,,22,30,"[80,89]"
11,90,2020-03-19,102,3,,,7,6,"[90,+]"
24,0,2020-03-19,37,11,,,3,1,"[0,9]"
24,29,2020-03-19,1,0,,,0,0,"[20,39]"
24,49,2020-03-19,1,0,,,1,0,"[40,49]"
24,59,2020-03-19,2,1,,,2,0,"[50,59]"
24,69,2020-03-19,10,3,,,0,0,"[60,69]"
24,79,2020-03-19,10,5,,,0,1,"[70,79]"
24,89,2020-03-19,10,2,,,0,0,"[80,89]"
24,90,2020-03-19,3,0,,,0,0,"[90,+]"
27,0,2020-03-19,217,63,,,55,19,"[0,9]"
27,29,2020-03-19,1,1,,,6,0,"[20,39]"
27,39,2020-03-19,5,1,,,5,0,"[30,39]"
27,49,2020-03-19,13,2,,,4,0,"[40,49]"
27,59,2020-03-19,25,11,,,12,1,"[50,59]"
27,69,2020-03-19,46,21,,,2,1,"[60,69]"
27,79,2020-03-19,50,17,,,5,5,"[70,79]"
27,89,2020-03-19,56,10,,,13,9,"[80,89]"
27,90,2020-03-19,21,0,,,6,3,"[90,+]"
28,0,2020-03-19,54,11,,,11,5,"[0,9]"
28,29,2020-03-19,1,0,,,0,0,"[20,39]"
28,39,2020-03-19,1,0,,,0,0,"[30,39]"
28,49,2020-03-19,2,0,,,2,0,"[40,49]"
28,59,2020-03-19,5,1,,,3,0,"[50,59]"
28,69,2020-03-19,11,5,,,4,1,"[60,69]"
28,79,2020-03-19,17,3,,,1,1,"[70,79]"
28,89,2020-03-19,13,2,,,1,2,"[80,89]"
28,90,2020-03-19,4,0,,,0,1,"[90,+]"
32,0,2020-03-19,417,116,,,140,46,"[0,9]"
32,9,2020-03-19,12,0,,,14,0,"[0,9]"
32,19,2020-03-19,5,1,,,3,0,"[10,19]"
32,29,2020-03-19,13,2,,,10,0,"[20,39]"
32,39,2020-03-19,14,4,,,25,0,"[30,39]"
32,49,2020-03-19,25,4,,,21,0,"[40,49]"
